DateTime, ElementId, ElementIndex, x, y, z, Temperature, UpstreamJunctionTemperature, DownstreamJunctionTemperature
0.000162037037, 2, 2, 0.5, 0, 0, 6.641466755e+105, 3.846180859e+105, 2.361158806e+106
0.000162037037, 3, 3, 0.7, 0, 0, 4.058170937e+106, 2.361158806e+106, 1.438899265e+107
0.000162037037, 4, 4, 0.9, 0, 0, 2.471981435e+107, 1.438899265e+107, 0
0.0001736111111, 0, 0, 0.1, 0, 0, 6.218328245e+111, 1, 3.471122664e+112
0.0001736111111, 1, 1, 0.3, 0, 0, 6.320412503e+112, 3.471122664e+112, 2.313214015e+113
0.0001736111111, 2, 2, 0.5, 0, 0, 3.99438678e+113, 2.313214015e+113, 1.420075093e+114
0.0001736111111, 3, 3, 0.7, 0, 0, 2.440711508e+114, 1.420075093e+114, 8.653992276e+114
0.0001736111111, 4, 4, 0.9, 0, 0, 1.486727304e+115, 8.653992276e+114, 0
0.0001851851852, 0, 0, 0.1, 0, 0, 3.739897985e+119, 1, 2.087642232e+120
0.0001851851852, 1, 1, 0.3, 0, 0, 3.801294665e+120, 2.087642232e+120, 1.391239589e+121
0.0001851851852, 2, 2, 0.5, 0, 0, 2.402349712e+121, 1.391239589e+121, 8.540777794e+121
0.0001851851852, 3, 3, 0.7, 0, 0, 1.467920588e+122, 8.540777794e+121, 5.204782861e+122
0.0001851851852, 4, 4, 0.9, 0, 0, 8.941645134e+122, 5.204782861e+122, 0
0.0001967592593, 0, 0, 0.1, 0, 0, 2.249292155e+127, 1, 1.255573631e+128
0.0001967592593, 1, 1, 0.3, 0, 0, 2.286218047e+128, 1.255573631e+128, 8.367352014e+128
0.0001967592593, 2, 2, 0.5, 0, 0, 1.444848598e+129, 8.367352014e+128, 5.136692115e+129
0.0001967592593, 3, 3, 0.7, 0, 0, 8.828535632e+129, 5.136692115e+129, 3.130319946e+130
0.0001967592593, 4, 4, 0.9, 0, 0, 5.377786328e+130, 3.130319946e+130, 0
0.0002083333333, 0, 0, 0.1, 0, 0, 1.352794974e+135, 1, 7.551414318e+135
0.0002083333333, 1, 1, 0.3, 0, 0, 1.375003366e+136, 7.551414318e+135, 5.032388402e+136
0.0002083333333, 2, 2, 0.5, 0, 0, 8.689773437e+136, 5.032388402e+136, 3.089368032e+137
