DateTime, ElementId, ElementIndex, x, y, z, Depth, Width, XSectionArea, Dispersion, Temperature, TotalAdvDispHeatBalance, TotalExternalHeatFluxesBalance, TotalRadFluxesHeatBalance, TotalEvapFluxHeatBalance, TotalConvFluxHeatBalance, TotalHeatBalance, Salinity, TotalAdvDispMassBalance_Salinity, TotalExternalFluxMassBalance_Salinity,TotalMassBalance_Salinity
58181.00764, E7, 6, 0.65, 0, 0, 0.1, 1, 0.1, 0.1, 0.4622912121, 19.34226431, 0, 0, 0, 0, 19.34226431, 0.4622912118, 4.622912118, 0, 4.622912118
58181.00764, E8, 7, 0.75, 0, 0, 0.1, 1, 0.1, 0.1, 0.3460061625, 14.47689784, 0, 0, 0, 0, 14.47689784, 0.3460061629, 3.460061629, 0, 3.460061629
58181.00764, E9, 8, 0.85, 0, 0, 0.1, 1, 0.1, 0.1, 0.2180926095, 9.124994782, 0, 0, 0, 0, 9.124994782, 0.2180926092, 2.180926092, 0, 2.180926092
58181.00764, E10, 9, 0.95, 0, 0, 0.1, 1, 0.1, 0.1, 0.07738769965, 3.237901353, 0, 0, 0, 0, 3.237901353, 0.07738769999, 0.7738769999, 0, 0.7738769999
58181.00833, E1, 0, 0.05, 0, 0, 0.1, 1, 0.1, 0.1, 0.9687429149, 40.53220356, 0, 0, 0, 0, 40.53220356, 0.968742915, 9.68742915, 0, 9.68742915
58181.00833, E2, 1, 0.15, 0, 0, 0.1, 1, 0.1, 0.1, 0.9031030365, 37.78583105, 0, 0, 0, 0, 37.78583105, 0.9031030365, 9.031030365, 0, 9.031030365
58181.00833, E3, 2, 0.25, 0, 0, 0.1, 1, 0.1, 0.1, 0.83089917, 34.76482127, 0, 0, 0, 0, 34.76482127, 0.83089917, 8.3089917, 0, 8.3089917
58181.00833, E4, 3, 0.35, 0, 0, 0.1, 1, 0.1, 0.1, 0.7514749171, 31.44171053, 0, 0, 0, 0, 31.44171053, 0.7514749171, 7.514749171, 0, 7.514749171
58181.00833, E5, 4, 0.45, 0, 0, 0.1, 1, 0.1, 0.1, 0.6641082386, 27.7862887, 0, 0, 0, 0, 27.7862887, 0.6641082387, 6.641082387, 0, 6.641082387
58181.00833, E6, 5, 0.55, 0, 0, 0.1, 1, 0.1, 0.1, 0.5680048926, 23.76532471, 0, 0, 0, 0, 23.76532471, 0.5680048926, 5.680048926, 0, 5.680048926
58181.00833, E7, 6, 0.65, 0, 0, 0.1, 1, 0.1, 0.1, 0.4622912117, 19.3422643, 0, 0, 0, 0, 19.3422643, 0.4622912117, 4.622912117, 0, 4.622912117
58181.00833, E8, 7, 0.75, 0, 0, 0.1, 1, 0.1, 0.1, 0.346006163, 14.47689786, 0, 0, 0, 0, 14.47689786, 0.3460061629, 3.460061629, 0, 3.460061629
58181.00833, E9, 8, 0.85, 0, 0, 0.1, 1, 0.1, 0.1, 0.2180926091, 9.124994763, 0, 0, 0, 0, 9.124994763, 0.2180926091, 2.180926091, 0, 2.180926091
58181.00833, E10, 9, 0.95, 0, 0, 0.1, 1, 0.1, 0.1, 0.0773877001, 3.237901372, 0, 0, 0, 0, 3.237901372, 0.07738770006, 0.7738770006, 0, 0.7738770006
58181.00903, E1, 0, 0.05, 0, 0, 0.1, 1, 0.1, 0.1, 0.9687429149, 40.53220356, 0, 0, 0, 0, 40.53220356, 0.9687429148, 9.687429148, 0, 9.687429148
58181.00903, E2, 1, 0.15, 0, 0, 0.1, 1, 0.1, 0.1, 0.9031030365, 37.78583105, 0, 0, 0, 0, 37.78583105, 0.9031030366, 9.031030366, 0, 9.031030366
58181.00903, E3, 2, 0.25, 0, 0, 0.1, 1, 0.1, 0.1, 0.83089917, 34.76482127, 0, 0, 0, 0, 34.76482127, 0.8308991699, 8.308991699, 0, 8.308991699
58181.00903, E4, 3, 0.35, 0, 0, 0.1, 1, 0.1, 0.1, 0.7514749171, 31.44171053, 0, 0, 0, 0, 31.44171053, 0.7514749172, 7.514749172, 0, 7.514749172
58181.00903, E5, 4, 0.45, 0, 0, 0.1, 1, 0.1, 0.1, 0.6641082386, 27.7862887, 0, 0, 0, 0, 27.7862887, 0.6641082385, 6.641082385, 0, 6.641082385
58181.00903, E6, 5, 0.55, 0, 0, 0.1, 1, 0.1, 0.1, 0.5680048926, 23.76532471, 0, 0, 0, 0, 23.76532471, 0.5680048927, 5.680048927, 0, 5.680048927
58181.00903, E7, 6, 0.65, 0, 0, 0.1, 1, 0.1, 0.1, 0.4622912116, 19.3422643, 0, 0, 0, 0, 19.3422643, 0.4622912115, 4.622912115, 0, 4.622912115
