DateTime, ElementId, ElementIndex, x, y, z, Temperature, UpstreamJunctionTemperature, DownstreamJunctionTemperature
8.101851852e-05, 4, 4, 0.9, 0, 0, 4.659683926e+78, 6.656808562e+78, 0
9.259259259e-05, 0, 0, 0.1, 0, 0, 1.849779715e+79, 1, 1.701845124e+79
9.259259259e-05, 1, 1, 0.3, 0, 0, 1.553910533e+79, 1.701845124e+79, 1.390404023e+79
9.259259259e-05, 2, 2, 0.5, 0, 0, 1.226897513e+79, 1.390404023e+79, 1.046189703e+79
9.259259259e-05, 3, 3, 0.7, 0, 0, 8.65481892e+78, 1.046189703e+79, 6.657526262e+78
9.259259259e-05, 4, 4, 0.9, 0, 0, 4.660233604e+78, 6.657526262e+78, 0
0.0001041666667, 0, 0, 0.1, 0, 0, 1.849791062e+79, 1, 1.70186141e+79
0.0001041666667, 1, 1, 0.3, 0, 0, 1.553931757e+79, 1.70186141e+79, 1.390427728e+79
0.0001041666667, 2, 2, 0.5, 0, 0, 1.226923699e+79, 1.390427728e+79, 1.04621487e+79
0.0001041666667, 3, 3, 0.7, 0, 0, 8.655060405e+78, 1.04621487e+79, 6.657722585e+78
0.0001041666667, 4, 4, 0.9, 0, 0, 4.660384766e+78, 6.657722585e+78, 0
0.0001157407407, 0, 0, 0.1, 0, 0, 1.849797836e+79, 1, 1.701864454e+79
0.0001157407407, 1, 1, 0.3, 0, 0, 1.553931072e+79, 1.701864454e+79, 1.390434849e+79
0.0001157407407, 2, 2, 0.5, 0, 0, 1.226938627e+79, 1.390434849e+79, 1.046222151e+79
0.0001157407407, 3, 3, 0.7, 0, 0, 8.655056757e+78, 1.046222151e+79, 6.657761988e+78
0.0001157407407, 4, 4, 0.9, 0, 0, 4.660467219e+78, 6.657761988e+78, 0
0.0001273148148, 0, 0, 0.1, 0, 0, 1.849798733e+79, 1, 1.701865656e+79
0.0001273148148, 1, 1, 0.3, 0, 0, 1.553932579e+79, 1.701865656e+79, 1.390436634e+79
0.0001273148148, 2, 2, 0.5, 0, 0, 1.226940689e+79, 1.390436634e+79, 1.046224042e+79
